,actions
0264_indoor,"Sleeping, sitting, lighting, storing, hanging, exiting, entering, viewing, unpacking."
0231_indoor,"Walking, sitting, reading, typing, working, organizing, turning-on, watering, browsing."
0172_outdoor_manmade,"walking, sitting, gardening, photography, birdwatching"
0123_outdoor_manmade,"Walking, driving, parking, cycling."
0078_outdoor_natural,"Swimming, Boating, Fishing, Exploring, Photographing, Observing."
0278_indoor,"sitting, walking, watching, relaxing, opening, closing, lying, standing, reading, lounging, working, stepping, turning, reclining, resting"
0031_outdoor_natural,"Swimming, walking, sitting, sunbathing, exploring"
0079_outdoor_natural,"boating, swimming, fishing, walking, observing, photographing"
0173_outdoor_manmade,"Boating, Viewing, Photographing, Exploring, Walking"
0170_outdoor_manmade,"Walking, Climbing, Standing, Sitting, Observing, Gardening."
0183_outdoor_manmade,"Playing, Running, Shooting, Jumping, Passing, Dribbling, Scoring, Defending, Kicking, Throwing."
0100_indoor,"Playing, Walking, Sitting, Exiting, Entering, Shooting, Scoring, Observing, Waiting."
0090_outdoor_natural,"Boating, Fishing, Swimming, Walking, Observing, Photographing"
0137_indoor,"Walking, Browsing, Shopping, Looking, Entering, Exiting, Sitting, Reading"
0182_outdoor_manmade,"Walking, Sitting, Standing, Resting, Observing, Strolling, Lounging, Gardening"
0171_outdoor_manmade,"Walking, Stepping, Admiring, Sitting, Reflecting, Photographing, Relaxing"
0088_outdoor_natural,"observe, walk, farm, plow, sit, stand, explore"
0253_outdoor_manmade,"crossing, walking, sitting, wading, observing"
0062_outdoor_natural,"Swimming, Walking, Sitting, Observing, Relaxing, Photographing, Sunbathing."
0202_outdoor_manmade,"walking, observing, exploring, entering, sitting, touching, standing, photographing"
0091_outdoor_natural,"walking, boating, swimming, diving, fishing, lounging, observing"
0144_outdoor_natural,"Walking, Hiking, Exploring, Resting, Observing, Photographing"
0242_indoor,"Sitting, weighing, opening, closing, viewing, reading, reclining, resting, adjusting, hanging, standing, stepping."
0168_outdoor_manmade,"walking, crossing, stopping, looking, entering"
0239_indoor,"sitting, walking, ascending, descending, leaning, waiting"
0177_outdoor_manmade,"Walking, Sitting, Viewing."
0019_outdoor_manmade,"Walking, turning, exploring, stopping, photographing, observing."
0113_outdoor_natural,"hiking, swimming, sunbathing, climbing, exploring, sitting, photographing"
