,actions
0264_indoor,walking
0231_indoor,walking
0172_outdoor_manmade,walking
0123_outdoor_manmade,driving
0078_outdoor_natural,boating
0278_indoor,walking
0031_outdoor_natural,walking
0079_outdoor_natural,boating
0173_outdoor_manmade,boating
0170_outdoor_manmade,walking
0183_outdoor_manmade,running
0100_indoor,walking
0090_outdoor_natural,boating
0137_indoor,walking
0182_outdoor_manmade,walking
0171_outdoor_manmade,walking
0088_outdoor_natural,walking
0253_outdoor_manmade,walking
0062_outdoor_natural,swimming
0202_outdoor_manmade,walking
0091_outdoor_natural,boating
0144_outdoor_natural,walking
0242_indoor,walking
0168_outdoor_manmade,walking
0239_indoor,walking
0177_outdoor_manmade,walking
0019_outdoor_manmade,walking
0113_outdoor_natural,walking
0097_outdoor_natural,walking
0204_outdoor_manmade,walking
0261_outdoor_natural,walking
0230_outdoor_natural,walking
0127_outdoor_manmade,walking
0212_indoor,walking
0176_outdoor_manmade,walking
0058_indoor,walking
0270_indoor,climbing
0034_outdoor_natural,walking
0096_outdoor_natural,walking
0018_outdoor_manmade,walking
0184_indoor,walking
0095_outdoor_natural,walking
0111_outdoor_natural,walking
0257_outdoor_manmade,driving
0175_outdoor_manmade,boating
0124_outdoor_manmade,walking
0186_outdoor_manmade,walking
0234_indoor,walking
0108_outdoor_natural,walking
0282_indoor,swimming
0256_outdoor_manmade,driving
0158_outdoor_natural,walking
0125_outdoor_manmade,walking
0055_indoor,walking
0104_outdoor_natural,boating
0179_outdoor_manmade,walking
0146_indoor,walking
0193_outdoor_manmade,walking
0046_outdoor_manmade,walking
0131_outdoor_manmade,boating
0099_outdoor_natural,walking
0129_outdoor_manmade,walking
0266_indoor,walking
0105_outdoor_natural,boating
0233_indoor,walking
0023_outdoor_natural,climbing
0098_outdoor_natural,walking
0161_outdoor_manmade,walking
0227_outdoor_natural,walking
0015_outdoor_manmade,walking
0191_outdoor_manmade,walking
0275_outdoor_natural,walking
0162_outdoor_manmade,walking
0133_outdoor_manmade,driving
0215_indoor,walking
0188_outdoor_manmade,walking
0277_indoor,walking
0240_outdoor_manmade,walking
0106_outdoor_natural,walking
0045_outdoor_manmade,walking
0258_outdoor_manmade,walking
0083_outdoor_natural,walking
0209_indoor,walking
0135_indoor,walking
0102_indoor,walking
0189_outdoor_manmade,walking
0021_indoor,walking
0245_indoor,walking
0165_outdoor_manmade,walking
0038_indoor,walking
0272_indoor,climbing
0027_outdoor_natural,walking
0247_outdoor_manmade,walking
0085_outdoor_natural,walking
0101_outdoor_natural,walking
0273_outdoor_natural,boating
0259_indoor,skating
0130_indoor,walking
0084_outdoor_natural,climbing
0217_outdoor_manmade,walking
0280_indoor,walking
0035_indoor,walking
0167_outdoor_manmade,walking
0143_indoor,walking
0057_indoor,walking
0059_outdoor_manmade,walking
0153_outdoor_natural,boating
0075_outdoor_natural,climbing
0263_indoor,walking
0236_indoor,walking
0195_outdoor_manmade,walking
0040_outdoor_manmade,walking
0132_outdoor_natural,walking
0238_indoor,walking
0072_indoor,walking
0070_outdoor_manmade,walking
0210_outdoor_natural,walking
0068_outdoor_manmade,driving
0185_indoor,walking
0157_outdoor_manmade,swimming
0224_indoor,walking
0271_indoor,climbing
0154_outdoor_manmade,walking
0235_indoor,walking
0178_outdoor_natural,boating
0276_outdoor_manmade,walking
0080_indoor,walking
0128_outdoor_natural,swimming
0036_indoor,walking
0155_outdoor_manmade,swimming
0140_indoor,walking
0054_indoor,walking
0229_indoor,walking
0160_outdoor_natural,walking
0283_indoor,walking
0017_outdoor_natural,walking
0024_outdoor_manmade,walking
0008_outdoor_natural,climbing
0220_outdoor_manmade,walking
0011_outdoor_natural,walking
0166_outdoor_natural,walking
0265_indoor,walking
0159_indoor,walking
0009_outdoor_natural,climbing
0152_outdoor_manmade,boating
0087_outdoor_manmade,walking
0074_outdoor_manmade,walking
0033_indoor,climbing
0279_indoor,walking
0066_indoor,driving
0010_outdoor_natural,climbing
0145_indoor,driving
0119_outdoor_manmade,driving
0163_indoor,walking
0148_outdoor_manmade,swimming
0042_outdoor_natural,boating
0136_indoor,walking
0013_outdoor_natural,walking
0268_indoor,swimming
0246_outdoor_natural,swimming
0026_outdoor_manmade,walking
0151_outdoor_manmade,walking
0221_indoor,walking
0216_indoor,walking
0043_outdoor_natural,walking
0243_indoor,walking
0274_indoor,walking
0149_outdoor_manmade,walking
0150_outdoor_manmade,walking
0076_outdoor_manmade,walking
0120_outdoor_natural,walking
0226_indoor,walking
0211_indoor,walking
0115_outdoor_manmade,walking
0244_indoor,walking
0007_outdoor_natural,walking
0121_outdoor_natural,walking
0089_outdoor_manmade,boating
0032_outdoor_manmade,walking
0203_outdoor_natural,walking
0252_outdoor_natural,walking
0063_outdoor_manmade,driving
0164_indoor,walking
0025_indoor,walking
0117_outdoor_manmade,walking
0093_outdoor_manmade,walking
0060_outdoor_manmade,walking
0251_outdoor_natural,boating
0249_indoor,walking
0200_outdoor_natural,boating
0199_outdoor_natural,boating
0056_indoor,walking
0004_outdoor_natural,walking
0281_indoor,dancing
0028_outdoor_manmade,walking
0262_indoor,walking
0198_outdoor_natural,boating
0250_outdoor_natural,walking
0030_outdoor_manmade,walking
0237_indoor,walking
0147_outdoor_manmade,boating
0092_outdoor_manmade,walking
0218_outdoor_natural,boating
0181_outdoor_natural,swimming
0005_outdoor_natural,walking
0110_outdoor_manmade,walking
0067_outdoor_manmade,walking
0207_outdoor_natural,walking
0052_outdoor_natural,climbing
0003_outdoor_natural,walking
0109_outdoor_manmade,walking
0206_outdoor_natural,walking
0139_indoor,walking
0053_outdoor_natural,walking
0002_outdoor_natural,walking
0232_indoor,walking
0214_indoor,walking
0241_indoor,walking
0001_outdoor_natural,Walking
0050_outdoor_natural,climbing
0049_outdoor_natural,climbing
0205_outdoor_natural,walking
0065_outdoor_manmade,walking
0254_outdoor_natural,walking
0156_indoor,swimming
0126_outdoor_natural,walking
0208_indoor,walking
0103_indoor,walking
0255_outdoor_natural,swimming
0064_outdoor_manmade,walking
0142_outdoor_manmade,walking
